KINDS OF MEAT:, BEEF ,PORK ,POULTRY ,VENISON
TITLE TV DOCTORS:, GREY ,HOUSE ,HOWSER ,QUINN
DETERGENTS:, ALL ,ERA ,GAIN ,TIDE
SHADES OF GREEN:, EMERALD ,FOREST ,KELLY ,OLIVE
FISHING GEAR:, LURE ,REEL ,ROD ,TACKLE
HONDAS:, ACCORD ,CIVIC ,PASSPORT ,PILOT
SILENT "G":, GNAT ,GNAW ,GNOCCHI ,GNOME
SLOW ANIMALS:, LORIS ,SLOTH ,SNAIL ,TORTOISE
THINGS WITH WINGS:, AIRPLANE ,ANGEL ,BIRD ,PEGASUS
BIRDS:, CRANE ,JAY ,SWALLOW ,TURKEY
VEGETABLES:, BEET ,CARROT ,CORN ,ONION
THINGS THAT ARE RED:, CHERRY ,FIRE TRUCK ,RUBY ,STOP SIGN
SLANG FOR TOILET:, CAN ,HEAD ,JOHN ,THRONE
RAPPERS:, COMMON ,FUTURE ,ICE CUBE ,Q-TIP
SYNONYMS FOR SAD:, BLUE ,DOWN ,GLUM ,LOW
CLEANING VERBS:, DUST ,MOP ,SWEEP ,VACUUM
DOG BREEDS INFORMALLY:, LAB ,PEKE ,PIT ,POM
MAGAZINES:, ESSENCE ,PEOPLE ,TIME ,US
KEYBOARD KEYS:, OPTION ,RETURN ,SHIFT ,TAB
