ANTI-VAMPIRE:, CRUCIFIX ,GARLIC ,MIRROR ,STAKE
AWARDS:, CUP ,MEDAL ,RIBBON ,TROPHY
SHIP DIRECTIONS:, BOW ,PORT ,STARBOARD ,STERN
TREE NUTS:, ALMOND ,CASHEW ,PECAN ,WALNUT
COLORS:, BROWN ,PINK ,TURQUOISE ,VIOLET
FAMOUS BROTHERS:, JONAS ,MARX ,WARNER ,WRIGHT
GREEK LETTERS:, BETA ,CHI ,DELTA ,IOTA
DEADLY SINS:, ENVY ,GREED ,LUST ,PRIDE
TERMS OF ENDEARMENT:, BOO ,HONEY ,SUGAR ,SWEETIE
COUNTRIES:, CHAD ,GEORGIA ,JORDAN ,TOGO
TOPS:, CAMI ,HALTER ,TANK ,TEE
MATTRESS SIZES:, FULL ,KING ,QUEEN ,TWIN
BABY ANIMALS:, CALF ,CUB ,JOEY ,KID
SHADES OF BLUE:, BABY ,MIDNIGHT ,POWDER ,ROYAL
CONDIMENTS:, KETCHUP ,MAYO ,RELISH ,TARTAR
MUSICALS BEGINNING WITH "C":, CABARET ,CAROUSEL ,CATS ,CHICAGO
SYNONYMS FOR EAT:, CHOW ,GOBBLE ,SCARF ,WOLF
UNITS OF LENGTH:, FOOT ,LEAGUE ,MILE ,YARD
NBA TEAMS:, BUCKS ,HEAT ,JAZZ ,NETS
