SYNONYMS FOR ARGUMENT:, ROW ,QUARREL ,SPAT ,TIFF
NFL PLAYERS:, BEAR ,BILL ,BROWN ,COMMANDER
___ TRIANGLE:, ACUTE ,BERMUDA ,LOVE ,RIGHT
MR. ___:, BEAN ,CLEAN ,FOX ,PEANUT
FICTIONAL PIRATES:, HOOK ,JONES ,SILVER ,SPARROW
VIDEO GAME CHARACTERS:, CRASH ,LINK ,MARIO ,SONIC
HOMOPHONES:, GNU ,KNEW ,NEW ,NU
TRIG FUNCTIONS:, COT ,SEC ,SIN ,TAN
SPICE GIRLS:, BABY ,GINGER ,POSH ,SCARY
ZODIAC SYMBOLS:, FISH ,GOAT ,SCALES ,TWINS
INSECTS:, ANT ,BEETLE ,MANTIS ,TERMITE
THINGS WITH KEYS:, CRYPTOGRAPHY ,FLORIDA ,LOCKSMITH ,PIANO
___ FISH THAT AREN'T FISH:, CRAY ,JELLY ,SILVER ,STAR
MEMBERS OF A SEPTET:, SEA ,SIN ,SISTER ,WONDER
CLUE CHARACTERS:, GREEN ,MUSTARD ,PLUM ,SCARLET
___ MAN SUPERHEROES:, BAT ,IRON ,SPIDER ,SUPER
MEMBERS OF A TRIO:, AMIGO ,KING ,STOOGE ,TENOR
LETTER HOMOPHONES:, ARE ,QUEUE ,SEA ,WHY
PALINDROMES: KAYAK ,LEVEL ,MOM ,RACE CAR
