OFF-WHITE SHADES:, CREAM ,EGGSHELL ,IVORY ,VANILLA ,
MUSCLES INFORMALLY:, LAT ,PEC ,QUAD ,TRI ,
NECKWEAR:, ASCOT ,BOLO ,SCARF ,TIE ,
COFFEE DRINKS:, AMERICANO ,CAPPUCCINO ,ESPRESSO ,LATTE , 
BIRD SOUNDS:, CAW ,CHIRP ,CLUCK , CHEEP , 
BEDS:, BUNK ,CANOPY ,MURPHY ,TRUNDLE,
AIRLINES:, FRONTIER ,SPIRIT ,UNITED ,VIRGIN,
ANIMAL GROUP NAMES:, FLOCK ,PACK ,POD ,SCHOOL,
SPICES BEGINNING WITH "C":, CARDAMOM ,CLOVE ,CORIANDER ,CUMIN,
FRUIT:, DATE ,KIWI ,LEMON ,ORANGE,
SPORTS:, CRICKET ,FENCING ,POLO ,SQUASH,
BOARD GAMES:, BACKGAMMON ,CHECKERS ,CHESS ,GO,
LEG PARTS:, ANKLE ,KNEE ,SHIN ,THIGH,
MONOPOLY SQUARES:, BOARDWALK ,CHANCE ,GO ,JAIL,
STREAMING SERVICES:, HULU ,NETFLIX ,PEACOCK ,PRIME,
SNEAKER BRANDS:, ADIDAS ,NIKE ,PUMA ,REEBOK,
FACIAL FEATURES:, CHEEK ,EYE ,MOUTH ,NOSE,
FOOTWEAR:, BOOT ,LOAFER ,PUMP ,SNEAKER,
WET WEATHER:, HAIL ,RAIN ,SLEET ,SNOW,
